q,imax,pmax,grid,tol,tau_eff_global,alpha_found,alpha_value,p,min_IL,ok_IL,min_IM,ok_IM,min_IR,ok_IR,Spp_approx,Spp_pass,cert_IL_L_ok,cert_IL_Lprime_ok,cert_IM_M_ok,min_margin_IL_L,min_margin_IM_M,root_count_window,min_margin_IR_quad,alpha_IR_quad_min
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,83,0.21993256059970623,True,0.20934763825107025,True,1.304829714729428e-05,True,4.04158823817298,True,True,False,False,0.06395571925655766,0.1126933854579329,0,9.50145136383867e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,89,0.2914281877618281,True,0.27459064659147137,True,1.3851653496398309e-05,True,4.286140069125533,True,True,False,False,0.1592832221393841,0.19968406324513172,0,1.03048077129427e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,97,0.3937777095280056,True,0.36707037629311573,True,1.3333671539349948e-05,True,4.116301582441364,True,True,False,False,0.29574925116095385,0.32299036951399057,0,9.78682575589434e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,101,0.3181783421689801,True,0.2986473792285693,True,1.3402545638737543e-05,True,4.14393907597709,True,True,False,False,0.19495009468225313,0.23175970676126206,0,9.855699855281934e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,103,0.3217537687831742,True,0.30144590896400486,True,1.2957634868581742e-05,True,4.005170315689139,True,True,False,False,0.19971733016784524,0.23549107974184275,0,9.410789085126133e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,107,0.22204276463764902,True,0.21128435904162968,True,1.2885875966518753e-05,True,3.9906491242189897,True,True,False,False,0.06676932464047838,0.11527567984534254,0,9.339030183063144e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,109,0.38849211251215215,True,0.3623265232720511,True,1.3642648334904808e-05,True,4.2132440932923325,True,True,False,False,0.2887017884731492,0.3166652321525711,0,1.0095802551449199e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,113,0.30395818952049075,True,0.28564320196494286,True,1.3227614174145866e-05,True,4.0905662970106755,True,True,False,False,0.17598989115093402,0.2144208037430934,0,9.680768390690257e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,127,0.35048202848506466,True,0.3278417650640252,True,1.3392019633252726e-05,True,4.138062666866651,True,True,False,False,0.23802167643703256,0.2706855545418699,0,9.845173849797117e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,131,0.2642773052914242,True,0.24980175178926312,True,1.352836108716026e-05,True,4.187620364937453,True,True,False,False,0.12308204551217858,0.16663220350885377,0,9.981515303704651e-06,0.00011959906005859375
